symbol,date,entry_price,exit_date,exit_price,return,is_complete,in_optimal_zone,prev_weekly_red,prev_weekly_large_bottom_wick,prev_atr_declining,vol_spike,sector
NOW,2025-02-25 05:00:00,184.458,2026-01-09 05:00:00,141.87,-0.23088182675731062,False,False,True,True,True,False,Tech
NOW,2025-03-06 05:00:00,173.418,2026-01-09 05:00:00,141.87,-0.18191883195516034,False,False,True,False,False,False,Tech
NOW,2025-03-07 05:00:00,170.126,2026-01-09 05:00:00,141.87,-0.16608866369631925,False,False,True,False,False,False,Tech
NOW,2025-03-10 04:00:00,156.766,2026-01-09 05:00:00,141.87,-0.09502060395749068,False,False,True,True,True,True,Tech
NOW,2025-03-11 04:00:00,161.68,2026-01-09 05:00:00,141.87,-0.12252597723899061,False,False,True,True,True,False,Tech
NOW,2025-04-04 04:00:00,144.33,2026-01-09 05:00:00,141.87,-0.017044273539804644,False,True,True,True,True,False,Tech
NOW,2025-08-11 04:00:00,171.274,2026-01-09 05:00:00,141.87,-0.1716781297803519,False,False,True,False,False,False,Tech
NOW,2025-08-12 04:00:00,170.686,2026-01-09 05:00:00,141.87,-0.1688246253354112,False,False,True,False,False,False,Tech
NOW,2025-11-18 05:00:00,163.594,2026-01-09 05:00:00,141.87,-0.13279215619154727,False,False,True,False,False,False,Tech
NOW,2025-11-19 05:00:00,163.29,2026-01-09 05:00:00,141.87,-0.13117765937901882,False,False,True,False,False,False,Tech
NOW,2025-11-20 05:00:00,160.092,2026-01-09 05:00:00,141.87,-0.11382205231991604,False,False,True,False,False,False,Tech
NOW,2025-12-15 05:00:00,153.04,2026-01-09 05:00:00,141.87,-0.07298745426032405,False,False,False,False,False,True,Tech
NOW,2026-01-02 05:00:00,147.45,2026-01-09 05:00:00,141.87,-0.03784333672431317,False,False,True,True,False,False,Tech
NOW,2026-01-09 05:00:00,141.87,2026-01-09 05:00:00,141.87,0.0,False,False,True,True,True,False,Tech
CAT,2025-03-03 05:00:00,332.04,2026-01-09 05:00:00,618.367,0.8623268280930005,False,False,True,False,True,False,Industrial
CAT,2025-03-04 05:00:00,326.75,2026-01-09 05:00:00,618.367,0.8924774292272379,False,False,True,False,True,False,Industrial
CAT,2025-04-03 04:00:00,305.76,2026-01-09 05:00:00,618.367,1.0223933804290946,False,False,True,True,True,False,Industrial
CAT,2025-04-04 04:00:00,288.08,2026-01-09 05:00:00,618.367,1.1465113857261873,False,False,True,True,True,True,Industrial
CAT,2025-04-07 04:00:00,280.06,2026-01-09 05:00:00,618.367,1.2079804327644075,False,True,True,False,True,True,Industrial
CAT,2025-04-08 04:00:00,273.94,2026-01-09 05:00:00,618.367,1.257308169672191,False,True,True,False,True,False,Industrial
